"7","112387826","06-01-2014 12:38:35","RSA","RSA/FlamP (RSA) 6th Jan","FlamP","06-01-2014 12:20","R5 1000m Hcap","","5839807","Wolfs Girl","4.2","3","55","06-01-2014 12:27:40","06-01-2014 12:27:40","1","NI"
"7","112387826","06-01-2014 12:38:35","RSA","RSA/FlamP (RSA) 6th Jan","FlamP","06-01-2014 12:20","R5 1000m Hcap","","5839807","Wolfs Girl","4.61","16","333.38","06-01-2014 12:26:56","06-01-2014 12:24:11","1","NI"
"7","112387827","06-01-2014 12:38:36","RSA","RSA/FlamP (RSA) 6th Jan","FlamP","06-01-2014 12:20","TO BE PLACED","","5839807","Wolfs Girl","2.06","10","70.02","06-01-2014 12:22:45","06-01-2014 12:19:54","1","NI"
"7","112387826","06-01-2014 12:38:35","RSA","RSA/FlamP (RSA) 6th Jan","FlamP","06-01-2014 12:20","R5 1000m Hcap","","5839807","Wolfs Girl","4.44","5","67.82","06-01-2014 12:30:05","06-01-2014 12:27:43","1","NI"
"7","112387827","06-01-2014 12:38:36","RSA","RSA/FlamP (RSA) 6th Jan","FlamP","06-01-2014 12:20","TO BE PLACED","","5839807","Wolfs Girl","1.78","4","4.82","06-01-2014 11:51:18","06-01-2014 09:45:29","1","NI"
"7","112387827","06-01-2014 12:38:36","RSA","RSA/FlamP (RSA) 6th Jan","FlamP","06-01-2014 12:20","TO BE PLACED","","5839807","Wolfs Girl","2.14","7","176.8","06-01-2014 12:23:24","06-01-2014 12:19:21","1","NI"
"7","112387826","06-01-2014 12:38:35","RSA","RSA/FlamP (RSA) 6th Jan","FlamP","06-01-2014 12:20","R5 1000m Hcap","","5839807","Wolfs Girl","4.36","4","102.58","06-01-2014 12:27:06","06-01-2014 12:27:06","1","NI"
"7","112387827","06-01-2014 12:38:36","RSA","RSA/FlamP (RSA) 6th Jan","FlamP","06-01-2014 12:20","TO BE PLACED","","5839807","Wolfs Girl","2.04","8","85.26","06-01-2014 12:26:59","06-01-2014 12:15:41","1","NI"
"7","112387827","06-01-2014 12:38:36","RSA","RSA/FlamP (RSA) 6th Jan","FlamP","06-01-2014 12:20","TO BE PLACED","","5839807","Wolfs Girl","2.03","4","180","06-01-2014 12:20:41","06-01-2014 12:20:23","1","NI"
"7","112387826","06-01-2014 12:38:35","RSA","RSA/FlamP (RSA) 6th Jan","FlamP","06-01-2014 12:20","R5 1000m Hcap","","5839807","Wolfs Girl","4.95","29","548.54","06-01-2014 12:23:02","06-01-2014 12:18:46","1","NI"
"7","112387826","06-01-2014 12:38:35","RSA","RSA/FlamP (RSA) 6th Jan","FlamP","06-01-2014 12:20","R5 1000m Hcap","","5839807","Wolfs Girl","4.11","2","12.38","06-01-2014 12:27:40","06-01-2014 12:27:40","1","NI"
"7","112387827","06-01-2014 12:38:36","RSA","RSA/FlamP (RSA) 6th Jan","FlamP","06-01-2014 12:20","TO BE PLACED","","5839807","Wolfs Girl","1.92","3","24.92","06-01-2014 12:27:49","06-01-2014 12:27:49","1","NI"
"7","112387827","06-01-2014 12:38:36","RSA","RSA/FlamP (RSA) 6th Jan","FlamP","06-01-2014 12:20","TO BE PLACED","","5839807","Wolfs Girl","2.12","2","4.32","06-01-2014 12:19:16","06-01-2014 12:19:16","1","NI"
"7","112387826","06-01-2014 12:38:35","RSA","RSA/FlamP (RSA) 6th Jan","FlamP","06-01-2014 12:20","R5 1000m Hcap","","5839807","Wolfs Girl","4.86","23","172.36","06-01-2014 12:23:02","06-01-2014 12:20:04","1","NI"
"7","112387826","06-01-2014 12:38:35","RSA","RSA/FlamP (RSA) 6th Jan","FlamP","06-01-2014 12:20","R5 1000m Hcap","","5839807","Wolfs Girl","6.37","4","9.58","06-01-2014 12:06:31","06-01-2014 11:57:11","1","NI"
"7","112387827","06-01-2014 12:38:36","RSA","RSA/FlamP (RSA) 6th Jan","FlamP","06-01-2014 12:20","TO BE PLACED","","5839807","Wolfs Girl","2.26","2","10.94","06-01-2014 12:18:05","06-01-2014 12:18:05","1","NI"
"7","112387826","06-01-2014 12:38:35","RSA","RSA/FlamP (RSA) 6th Jan","FlamP","06-01-2014 12:20","R5 1000m Hcap","","5839807","Wolfs Girl","5.19","50","982.86","06-01-2014 12:22:39","06-01-2014 12:14:29","1","NI"
